"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC50","trueCoefs"
"alpha[1]",1.98804772747899,1.7256211826588,1.59175393612429,5.4
"alpha[10]",-1.81630069893305,-2.0778958588702,-1.70587326561708,1.5
"alpha[2]",-0.36675915232993,-0.628825503956226,-0.437037640710722,3.1
"alpha[3]",-2.69327276607443,-2.95515166509881,-2.44628834700822,0.7
"alpha[4]",3.43192618986915,3.16961759065047,2.85623795638455,6.8
"alpha[5]",1.74762220931541,1.48532919305849,1.39274207149316,5.1
"alpha[6]",2.91198681890111,2.65002544646206,2.38183889813129,6.3
"alpha[7]",-1.37231361294114,-1.6345793803132,-1.33107707829572,2
"alpha[8]",0.379583734218319,0.117884347731025,0.209985007812862,3.8
"alpha[9]",-2.79054712217487,-3.05181972972623,-2.54006961548151,0.6
"beta[1]",-0.442868385712794,-0.49029271484194,-0.435741075527304,4.4
"beta[10]",-1.95827940856933,-2.00469334013311,-1.83378981702773,2.9
"beta[11]",-3.05614823005911,-3.1033665399245,-2.85113095366238,1.7
"beta[12]",0.707808150006822,0.660321213600022,0.612556416756388,5.6
"beta[13]",0.252447593792016,0.205105587590148,0.202421489879036,5.1
"beta[14]",-0.767799365207566,-0.815614235717158,-0.730485044374324,4.1
"beta[15]",0.377858821824545,0.330626913534822,0.316734231558977,5.2
"beta[2]",1.01228662027676,0.964128504022556,0.902114950012888,5.9
"beta[3]",-0.951037792565811,-0.997721270803267,-0.909225879900568,3.9
"beta[4]",0.0757516223517544,0.0291073887384053,0.0356671248364952,4.9
"beta[5]",-0.524928847880174,-0.571956928432251,-0.520072325612159,4.3
"beta[6]",1.60377216110897,1.55598344612468,1.46014345037492,6.5
"beta[7]",0.460844177881951,0.413926279813635,0.409082208310296,5.3
"beta[8]",2.15084445370422,2.10326989026299,1.94652954312921,7
"beta[9]",1.54848537958225,1.50010750451747,1.4001670071718,6.4
"mu",11.3325711160149,11.6408354658287,11.5072446161539,3.1
"tau",0.996265575388354,0.995919847120116,0.329300102746141,1
